roc_auc,pr_auc,balanced_accuracy,f1,brier,n_test,prevalence,model_block,learner,cv_scheme,fold,n_predictors,cal_intercept,cal_slope
0.6890261238961735,0.6681874061281661,0.637097493533137,0.6835626357711803,0.2388376905899111,2396,0.4941569282136895,M3,xgb,spatial,4,37,-0.31976143713949257,0.5295875218768147
0.7131923311784328,0.7308308648894264,0.6566895277891327,0.699288256227758,0.21451630368623906,2002,0.5529470529470529,M0,logit,random,0,6,,
0.723951242341729,0.7570449039721403,0.6746713325391422,0.7210338680926917,0.212415964868504,1962,0.5759429153924567,M0,logit,random,1,6,,
0.7041407109540855,0.7410181487578602,0.6527551795205554,0.6981943250214961,0.21824913578163307,2054,0.572541382667965,M0,logit,random,2,6,,
0.706782322509868,0.7353347546899682,0.6699189046753498,0.7144802541988198,0.21854855247283925,1943,0.5609881626351003,M0,logit,random,3,6,,
0.6960400474418941,0.7194805326091573,0.6546236681608162,0.6955307262569832,0.22055057433282663,1922,0.5530697190426639,M0,logit,random,4,6,,
0.7999969720367596,0.8216382144707176,0.7112352576039727,0.7532808398950132,0.18108684859589966,2002,0.5529470529470529,M0,xgb,random,0,7,,
0.7949902144315861,0.8333776296251438,0.7106173417290673,0.7564949361514751,0.18286309888921037,1962,0.5759429153924567,M0,xgb,random,1,7,,
0.8029980785024715,0.8437070678671146,0.7083188058822618,0.7453683757001293,0.17985993101281678,2054,0.572541382667965,M0,xgb,random,2,7,,
0.804174150596384,0.8408921492062675,0.7243802230659195,0.7614720581553839,0.18229885363475293,1943,0.5609881626351003,M0,xgb,random,3,7,,
0.8012368623078969,0.8279715194706574,0.713454573729325,0.755575785161584,0.18244986138182678,1922,0.5530697190426639,M0,xgb,random,4,7,,
0.7228686923740746,0.7334577919812796,0.6796536010052838,0.7235915492957746,0.2093241751360172,2002,0.5529470529470529,M1,logit,random,0,22,,
0.7338102025187201,0.7689650613605894,0.6853833390061266,0.7368421052631579,0.2065947927156423,1962,0.5759429153924567,M1,logit,random,1,22,,
